,Beta-neutral,Beta-neutral,Beta-neutral,Beta-neutral,Unconstrained,Unconstrained,Unconstrained,Unconstrained,Unconstrained,Benchmark (EW),Benchmark (EW),Benchmark (EW),Benchmark (EW),Benchmark (EW)
,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA
date,,,,,,,,,,,,,,
2000-02-29,-0.056856241384400125,-1.6980455079802153,0.21741047194132754,1.5757879396317587,0.30100704351531615,-0.02246150097834628,-1.6752561317283077,0.30069233956127567,1.9259061494128267,0.2,0.2,0.2,0.2,0.2
2000-03-31,-0.10165568498271256,-1.6671697372338556,0.3617427208183924,1.537832605725233,0.2890027300470292,-0.06448480292846234,-1.655807146802736,0.4217263617557176,1.8852688807239022,0.2,0.2,0.2,0.2,0.2
2000-04-30,-0.18446598243652168,-1.6183280326569132,0.43334537153685565,1.4379956443722226,0.42524308103855035,-0.1129213876171521,-1.5606994818969262,0.5015961926771302,1.9199224106279562,0.2,0.2,0.2,0.2,0.2
2000-05-31,-0.2689190449613162,-0.7953576442616875,0.6929862884354778,1.376023161439514,0.9740974444442908,0.07276589224174308,-0.3339282433503694,0.33364936187668676,1.6286335139605332,0.2,0.2,0.2,0.2,0.2
2000-06-30,-0.18038786757888992,-1.6401199389752892,0.5706088653745465,1.4568888743825203,0.478016427208839,-0.10684896885273532,-1.5562981289462612,0.6250568003638639,1.9761311833017987,0.2,0.2,0.2,0.2,0.2
2000-07-31,-0.1792077913201609,-1.63852061090172,0.515959313344267,1.4988221436088953,0.6255990500321248,-0.07246582331671297,-1.4268032107544044,0.5637345109927145,2.0786631655883454,0.2,0.2,0.2,0.2,0.2
2000-08-31,0.019273416892296204,-1.6055889525485871,0.8634060524387885,1.5410139915508991,0.7130344103430851,0.08654061491553146,-1.3041811119180635,0.7885574100732301,2.1293731828432403,0.2,0.2,0.2,0.2,0.2
2000-09-30,0.23324890629614428,0.6378338667107633,0.3966748757322317,0.36664404290210734,1.0044334841795035,0.18890161367880015,-0.13366169554739107,0.36213058891421324,1.4141486837809452,0.2,0.2,0.2,0.2,0.2
2000-10-31,0.6682505491507319,0.05247519832144876,1.212546319411297,0.3292924928729388,0.9860504538267401,0.33338269127886677,-0.15720656484347278,0.6063116680906154,1.3838895717899642,0.2,0.2,0.2,0.2,0.2
2000-11-30,0.721270756760518,0.1405089035213238,1.0820770976207454,0.2952136909650548,0.9809138595448179,0.36722558397649163,-0.10860359480674699,0.5705479075077641,1.3540987888984153,0.2,0.2,0.2,0.2,0.2
