,q (MLE),q (MLE),q (MLE),q (MLE),q (MLE),q/10,q/10,q/10,q/10,q/10,q/100,q/100,q/100,q/100,q/100
,MKT_RF,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA
1990-03-31,-6.938893903907228e-18,3.469446951953614e-18,-3.469446951953614e-18,1.734723475976807e-18,-4.336808689942018e-19,-6.938893903907228e-18,3.469446951953614e-18,-3.469446951953614e-18,1.734723475976807e-18,-4.336808689942018e-19,-6.938893903907228e-18,3.469446951953614e-18,-3.469446951953614e-18,1.734723475976807e-18,-4.336808689942018e-19
1990-06-30,0.0,-4.336808689942018e-18,-1.3877787807814457e-17,0.0,-6.938893903907228e-18,0.0,-4.336808689942018e-18,-1.3877787807814457e-17,0.0,-6.938893903907228e-18,0.0,-4.336808689942018e-18,-1.3877787807814457e-17,0.0,-6.938893903907228e-18
1990-09-30,-2.7755575615628914e-17,-1.3877787807814457e-17,2.7755575615628914e-17,-2.7755575615628914e-17,4.163336342344337e-17,-2.7755575615628914e-17,-1.3877787807814457e-17,2.7755575615628914e-17,-2.7755575615628914e-17,4.163336342344337e-17,-2.7755575615628914e-17,-1.3877787807814457e-17,2.7755575615628914e-17,-2.7755575615628914e-17,4.163336342344337e-17
1990-12-31,4.440892098500626e-16,-8.326672684688674e-17,5.551115123125783e-17,-4.163336342344337e-17,-1.6653345369377348e-16,4.440892098500626e-16,-8.326672684688674e-17,5.551115123125783e-17,-4.163336342344337e-17,-1.6653345369377348e-16,4.440892098500626e-16,-8.326672684688674e-17,5.551115123125783e-17,-4.163336342344337e-17,-1.6653345369377348e-16
1991-03-31,-6.661338147750939e-16,1.1934897514720433e-15,6.938893903907228e-16,-1.1102230246251565e-16,2.0816681711721685e-16,-6.661338147750939e-16,1.1934897514720433e-15,6.938893903907228e-16,-1.1102230246251565e-16,2.0816681711721685e-16,-6.661338147750939e-16,1.1934897514720433e-15,6.938893903907228e-16,-1.1102230246251565e-16,2.0816681711721685e-16
1991-06-30,1.1018963519404679e-14,-4.704570066849101e-15,1.915134717478395e-15,-2.1094237467877974e-15,2.7755575615628914e-17,1.1018963519404679e-14,-4.704570066849101e-15,1.915134717478395e-15,-2.1094237467877974e-15,2.7755575615628914e-17,1.1018963519404679e-14,-4.704570066849101e-15,1.915134717478395e-15,-2.1094237467877974e-15,2.7755575615628914e-17
1991-09-30,0.018686501299639086,0.010641920650734556,-0.010279168831445029,-0.0014092635269407627,-0.0072741724632121585,0.01970328135194263,0.010984540371074332,-0.01088496494872132,-0.0027256528126805013,-0.007283968611195624,0.0198110780445184,0.011020019637331242,-0.010949495094301709,-0.003006488072620661,-0.007284949660390394
1991-12-31,0.008326342397832392,0.003334557638762961,-0.0031492073828911227,0.0013151076776048432,-0.005425316022357463,0.008498221394670408,0.003362426774188368,-0.003195554058180644,0.0022685109797925262,-0.00542894378537212,0.00851550116525071,0.0033651505877808213,-0.003199967015355215,0.0024588101733300782,-0.005429306808785006
1992-03-31,0.003262139621924287,0.021481179653652052,0.0245686362178619,-0.0020505684617978526,0.012694471040241753,0.004056642721391002,0.0229807162231941,0.02702495628006027,-0.006202205812318118,0.01272445239930238,0.004148036936905297,0.023141942229628412,0.02730090231219187,-0.007682895038476245,0.012727459176905945
