Portfolio,Sharpe (ann.),"CER (%, ann., gamma=3)",Max drawdown (%),Hit rate (%),Avg quarterly turnover
Kalman (q MLE) - Unconstrained,0.6845130824952861,6.362639982451619,-29.246217080353475,54.15094339622642,0.8707419744003623
Kalman (q MLE) - Beta-neutral,0.33288611270566193,1.8254728728299732,-31.689652095804888,50.23584905660377,1.1470661102550637
Kalman (q/10) - Unconstrained,0.6758524119843369,6.225898692145834,-27.408187051288824,53.58490566037736,1.1240827013621626
Kalman (q/10) - Beta-neutral,0.33042561765879436,1.808510354056033,-34.18634782742718,49.528301886792455,1.3860732395451472
Kalman (q/100) - Unconstrained,0.6466262076617013,5.750749730623432,-20.296462043775556,53.39622641509434,1.1280520257230573
Kalman (q/100) - Beta-neutral,0.2297776468119935,0.7788344578703761,-35.81692484888372,49.764150943396224,1.3334667085555767
Static - Unconstrained,0.03774017714099752,-1.915927109505594,-54.212079650997744,52.64150943396226,0.9064029970678673
Static - Beta-neutral,-0.4752133188681455,-7.066257579966057,-75.10967954442789,49.29245283018868,0.8663537708329004
Benchmark (EW) - Unconstrained,0.6068754574937814,3.280885902298686,-14.582092870645669,,0.03845300396360637
Benchmark (EW) - Beta-neutral,0.3863669548889451,2.057729247701844,-23.793027087871586,,0.029079788888143453
