,Static - Unconstrained,Static - Unconstrained,Static - Unconstrained,Static - Unconstrained,Static - Unconstrained,Static - Beta-neutral,Static - Beta-neutral,Static - Beta-neutral,Static - Beta-neutral,Kalman - Unconstrained,Kalman - Unconstrained,Kalman - Unconstrained,Kalman - Unconstrained,Kalman - Unconstrained,Kalman - Beta-neutral,Kalman - Beta-neutral,Kalman - Beta-neutral,Kalman - Beta-neutral,LASSO - Unconstrained,LASSO - Unconstrained,LASSO - Unconstrained,LASSO - Unconstrained,LASSO - Unconstrained,Benchmark (EW) - Unconstrained,Benchmark (EW) - Unconstrained,Benchmark (EW) - Unconstrained,Benchmark (EW) - Unconstrained,Benchmark (EW) - Unconstrained,LASSO - Beta-neutral,LASSO - Beta-neutral,LASSO - Beta-neutral,LASSO - Beta-neutral,Benchmark (EW) - Beta-neutral,Benchmark (EW) - Beta-neutral,Benchmark (EW) - Beta-neutral,Benchmark (EW) - Beta-neutral
,MKT_RF,SMB,HML,RMW,CMA,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA,SMB,HML,RMW,CMA,SMB,HML,RMW,CMA
2000-03-31,0.7946966737376213,-0.35295891359754644,-0.4795687622624707,0.9879770608130554,1.6664166388240649,-0.36432632172845836,-0.15152201024610043,1.0682017185749217,0.47072416456835564,0.8892313027101195,-0.08262117183867465,-1.0228044599918098,0.19607701568627342,2.4618771373853416,0.10144134222512967,-1.1667546662808013,-0.2850498870171726,1.832742862067236,0.8619818287095716,-0.23939681711300603,-0.8452360924827269,0.4623191466588168,1.3980970586880674,0.2,0.2,0.2,0.2,0.2,-0.19792784245493467,-0.7796574039448271,0.2382448226996079,-0.1504195167593918,0.25,0.25,0.25,0.25
2000-06-30,0.4980495650835488,-0.5200031401589956,0.14639723374392902,0.7844685516813754,0.050540451585142164,-0.5084439669248945,0.44382854846059183,0.6981002005046508,-0.926415115499159,0.3835561039005465,-0.44152076425580894,0.7341198985740556,-0.7723029496348981,-0.8918762118870306,-0.41419241394312567,0.9910315076590299,-0.971636549852383,-1.6749063000456186,0.9499621391491484,-0.3001989498092718,-0.3992648707505926,-0.20178857146976192,1.7544745498758916,0.2,0.2,0.2,0.2,0.2,-0.3058932807095176,0.08457194401772712,-1.0971478136966173,0.29154219560470346,0.25,0.25,0.25,0.25
2000-09-30,0.7595451603296295,-0.5645379245316372,0.1872950110413354,0.3962538853746487,0.2478438377196727,-0.6680335314673006,0.8283931762940455,0.17539618065618479,-1.5945973993877223,0.6098273413249388,-0.3219716296270904,0.5674604402684761,0.33430685260407045,-0.45941211991146963,-0.2941594705814524,1.076578063561916,0.13938232105424478,-1.8950183698553216,0.8154703146082409,-0.06915813069516837,-1.2699637695207147,0.4806292954652361,2.1564029374709275,0.2,0.2,0.2,0.2,0.2,0.08699731681539398,-1.3672627147149914,0.3110616993751656,1.1361343189273956,0.25,0.25,0.25,0.25
2000-12-31,-0.27676127841339665,-0.4005852604387854,1.094388706504137,-0.3621584964909392,-2.3991464106319116,-0.45792675811549693,0.9822797731504989,-0.281712879052861,-1.9993271598545057,-0.1774016996798164,-0.2812683758626415,1.3900058135925766,-0.23744835563644007,-2.2384423756453464,-0.3119670821522799,1.314681920533037,-0.18201105646447568,-1.9646127298643439,1.0343406134599877,-0.1347176801589999,-0.6191444335617425,0.44409236706709915,1.8709794048671797,0.2,0.2,0.2,0.2,0.2,0.09021284892233364,-1.1812908387694752,0.8327213395133162,1.92318724544094,0.25,0.25,0.25,0.25
2001-03-31,0.04937306192040796,-0.4924705439251171,1.075350085825625,-0.3835329808251972,-1.77486516283857,-0.48393396734352456,1.10278508909103,-0.3940395650737083,-1.8568915479888661,0.8239330745168597,7.04019304419965e-05,-0.9234090258519508,0.24796035248434084,2.431987843954887,0.252076618504932,-0.8082512285753698,0.13312955554126404,1.8246445289395596,1.0112273743321492,-0.13694587002053593,-0.38910868172663116,0.22275356405338373,1.6557182874097685,0.2,0.2,0.2,0.2,0.2,0.09784827666396696,0.2252076369618739,0.2053817423988855,0.5693669725130084,0.25,0.25,0.25,0.25
2001-06-30,0.39856141526005434,-0.7112347165908923,0.7649936877776661,-0.21631724928499274,-0.8044812098293397,-0.7493647378643938,1.0541998589740025,-0.33638038199579035,-1.603578307562881,0.7534142944752545,0.11990247341805092,-0.8882618286562247,0.1838380520946417,2.4231893231242827,0.27203544880133873,-0.8161818775085921,0.02003652505847914,1.862718634720248,0.9108974716710301,0.010385833870285003,-0.35694066878686337,0.34460781625998865,1.5874277324105506,0.2,0.2,0.2,0.2,0.2,0.00110065768811821,-0.06346255764399283,0.431016617211341,0.7425741260336461,0.25,0.25,0.25,0.25
2001-09-30,0.5029488085870003,-0.715336473971409,0.5518417034146449,-0.08352196803948203,-0.4807241707367666,-0.7971897399958496,0.9317556354856732,-0.23026639059269816,-1.525111043228354,0.7480149246489983,0.28794190892311966,-1.1102182933117344,0.29676289859570343,2.504440311806765,0.5132120318701723,-1.1405681266704866,0.19524838753243023,1.957492955048434,0.9477661208994238,0.05485122000174752,-0.37182162698349,0.18420201427361524,1.7551520883786653,0.2,0.2,0.2,0.2,0.2,0.13734991952297995,0.03157670387825248,0.030126470533091906,0.97576707514995,0.25,0.25,0.25,0.25
2001-12-31,0.6068260210844328,-0.6710907854898689,0.47594260873493155,-0.20510518866671495,-0.014379462555141427,-0.8009333712231828,0.9685856990169702,-0.42497106348752567,-1.2648505730837882,0.8148124469301862,0.11053997092089025,-0.9908236955383465,0.3637576030379382,2.3254284576599713,0.27960500926762677,-1.0483439998393707,0.32724811738942283,1.7469223977481492,0.6811621184880888,0.055871240756078695,-0.3087994779423453,0.15216047858548254,1.7970761627938265,0.2,0.2,0.2,0.2,0.2,0.06535972798137939,-0.030720239493272593,0.028344832882347328,1.0004738632270638,0.25,0.25,0.25,0.25
2002-03-31,0.78537237620648,-0.5843124263481755,0.19012710055786208,0.02712434916849771,0.5037396114171863,-0.8700918279599825,0.9053477132032606,-0.22547022553511606,-1.2322233340457165,0.7140810464376343,0.2749843408641338,-1.2864911971797652,0.32585448530297445,2.405691776018016,0.44630367021196554,-1.347257132483298,0.246942834928739,1.7787814209350346,0.11094997363953381,-0.09158740024509675,1.2215595248163058,-0.28133376092052753,-0.82569791396959,0.2,0.2,0.2,0.2,0.2,-0.09384475451398946,1.276536795985517,-0.30567419618849095,-1.004187692989384,0.25,0.25,0.25,0.25
