Portfolio,Sharpe (ann.),"CER (%, ann., gamma=3)",Max drawdown (%),Avg quarterly turnover
Static - Unconstrained,0.2829046788961874,1.1094483398099642,-24.227578332457643,0.7801055579348757
Kalman (RW) - Unconstrained,0.7053860976052083,6.953296211936511,-24.166165963701015,0.5498045174432183
Kalman (MR) - Unconstrained,0.6653128256496385,6.470514371380874,-24.192612695281724,0.34360615704166503
LASSO - Unconstrained,0.6500026966393979,6.053045764979838,-24.596396389623663,0.4914319944135314
Benchmark (EW) - Unconstrained,0.606875457493781,3.280885902298681,-14.582092870645692,0.03845300396360637
Static - Beta-neutral,-0.12657621383136444,-4.358725039151769,-63.35821934770465,0.7746416369698124
Kalman (RW) - Beta-neutral,0.42996066633617014,3.0807562371138424,-40.57125423891277,0.6858839855903454
Kalman (MR) - Beta-neutral,0.40014053150890155,2.6285661602989645,-39.68513217810242,0.30214587682146976
LASSO - Beta-neutral,0.36297903851515273,2.1535935018649055,-38.42306461102793,0.5617768523595055
Benchmark (EW) - Beta-neutral,0.3863669548889456,2.057729247701847,-23.7930270878715,0.029079788888143453
LASSO (expanding Sigma) - Unconstrained,0.6096580619982193,5.538195874388918,-22.372442842379904,0.49464169820892767
LASSO (expanding Sigma) - Beta-neutral,0.38985139111110434,2.5031067560679876,-38.31191298866642,0.5123587560148246
