Portfolio,Sharpe (ann.),"CER (%, ann., gamma=3)",Max drawdown (%),Avg quarterly turnover
Melone Static - Unconstrained,0.0013541960031619974,-1.9301015495058735,-54.212079650997744,0.8185812772248429
Melone Static - Beta-neutral,-0.6018969278909684,-6.75460063521493,-65.61555338794514,0.7984646832288946
Melone Kalman - Unconstrained,0.7094261872583126,6.305945432554851,-29.246217080353475,0.9336306947693214
Melone Kalman - Beta-neutral,0.45794405282508227,2.883303607579559,-12.809385241288918,1.1558976977288666
FS Static - Unconstrained,0.14304326186164693,-0.3877390770737017,-45.182848824475045,0.8225292171878765
FS Static - Beta-neutral,-0.3208285462706819,-4.2125485876089,-51.30420099170754,0.6683262976422623
FS Kalman - Unconstrained,0.6861945497681,5.960516737988463,-27.64749952170523,0.7180187581587698
FS Kalman - Beta-neutral,0.38036791067970044,2.1274394813059008,-12.147093578688539,0.998220332323405
LASSO - Unconstrained,0.716086244519915,5.484107135701997,-13.150576305512118,1.2358237521044173
Benchmark (EW) - Unconstrained,0.7203726923065964,3.611475410220963,-13.233599946427066,0.03605488685938814
LASSO - Beta-neutral,0.28622523437157144,1.3650709660354383,-16.407733077420595,1.4824505083306658
Benchmark (EW) - Beta-neutral,0.5263773795007534,2.9125638223903074,-12.256397021735488,0.026710825995433996
