Portfolio,Sharpe (ann.),"CER (%, ann., gamma=3)",Max drawdown (%),Hit rate (%),Avg quarterly turnover
Melone Static - Unconstrained,0.03774017714099752,-1.915927109505594,-54.212079650997744,52.64150943396226,0.9064029970678673
Melone Static - Beta-neutral,-0.4752133188681455,-7.066257579966057,-75.10967954442789,49.29245283018868,0.8663537708329004
Melone Kalman - Unconstrained,0.6845130824952861,6.362639982451619,-29.246217080353475,54.15094339622642,0.8707419744003623
Melone Kalman - Beta-neutral,0.33288611270566193,1.8254728728299732,-31.689652095804888,50.23584905660377,1.1470661102550637
FS Static - Unconstrained,0.05516942108499731,-1.829291705075551,-46.03241807986915,51.047619047619044,0.8021662470693852
FS Static - Beta-neutral,-0.26913476871014314,-4.881229666093738,-62.47275248600018,48.57142857142856,0.6521968087758995
FS Kalman - Unconstrained,0.6549749654535447,5.962931151614694,-27.64749952170523,53.714285714285715,0.6465506125899098
FS Kalman - Beta-neutral,0.2539653568001858,1.0537402365223518,-36.306609093513565,49.76190476190476,0.9080033032854915
LASSO - Unconstrained,0.4691508661119344,3.5395643568744015,-26.5267476395493,54.339622641509436,1.3851699449538775
Benchmark (EW) - Unconstrained,0.6068754574937814,3.280885902298686,-14.582092870645669,,0.03845300396360637
LASSO - Beta-neutral,0.1939935441902297,0.25898822134865634,-25.582768453968352,52.358490566037744,1.4782984990239567
Benchmark (EW) - Beta-neutral,0.3863669548889451,2.057729247701844,-23.793027087871586,,0.029079788888143453
