Portfolio,Sharpe (ann.),"CER (%, ann., gamma=5)",Max drawdown (%),Hit rate (%),Avg quarterly turnover
Static - Unconstrained,0.2829046788961877,-0.6590710144936853,-24.22757833245761,49.622641509433954,0.7801055579348759
Static - Beta-neutral,-0.12657621383136433,-6.138718817254418,-63.35821934770467,48.34905660377359,0.7746416369698124
Kalman (RW) - Unconstrained,0.7053860976052082,4.975645237067113,-24.166165963701005,55.471698113207545,0.5498045174432183
Kalman (RW) - Beta-neutral,0.4299606663361699,1.0700329542778468,-40.57125423891279,51.886792452830186,0.6858839855903455
Kalman (MR) - Unconstrained,0.6653128256496387,4.3964085743187375,-24.192612695281756,55.471698113207545,0.34360615704166514
Kalman (MR) - Beta-neutral,0.4001405315089019,0.3874098243453264,-39.685132178102435,51.886792452830186,0.30214587682146987
LASSO - Unconstrained,0.6500026966393982,4.217525132565175,-24.5963963896237,54.90566037735849,0.49143199441353147
Benchmark (EW) - Unconstrained,0.6068754574937814,2.8677939672082506,-14.582092870645669,,0.03845300396360637
LASSO - Beta-neutral,0.3629790385151529,0.2550832401984282,-38.42306461102793,50.943396226415096,0.5617768523595055
Benchmark (EW) - Beta-neutral,0.3863669548889451,1.491751875559679,-23.793027087871586,,0.029079788888143453
