Portfolio,Sharpe (ann.),"CER (%, ann., gamma=5)",Max drawdown (%),Avg quarterly turnover
Static - Unconstrained,0.370947499482221,0.6073325033083964,-24.22757833245761,0.7745202181391614
Static - Beta-neutral,0.08839501312946661,-3.327016719281164,-42.29574967770352,0.7040638728736257
Kalman (RW) - Unconstrained,0.7896839282936121,6.0725442237597305,-24.166165963701005,0.5080634892763204
Kalman (RW) - Beta-neutral,0.592200960380076,3.4135980620242674,-16.654125244140683,0.6256926678506252
Kalman (MR) - Unconstrained,0.7253823138312965,5.248638657828883,-24.192612695281756,0.3220137079973963
Kalman (MR) - Beta-neutral,0.5441853797237143,2.547036040736174,-15.12099726947449,0.2769370309964427
LASSO - Unconstrained,0.764423684337837,5.716493475438219,-24.5963963896237,0.4638627801728793
Benchmark (EW) - Unconstrained,0.7203726923065964,3.288087695147606,-13.233599946427066,0.03605488685938814
LASSO - Beta-neutral,0.5327422939016361,2.4911671182641815,-19.807756163605795,0.5224215329502792
Benchmark (EW) - Beta-neutral,0.5263773795007534,2.4387451090363466,-12.256397021735488,0.026710825995433996
