,Static - Unconstrained,Static - Unconstrained,Static - Unconstrained,Static - Unconstrained,Static - Unconstrained,Static - Beta-neutral,Static - Beta-neutral,Static - Beta-neutral,Static - Beta-neutral,Kalman (RW) - Unconstrained,Kalman (RW) - Unconstrained,Kalman (RW) - Unconstrained,Kalman (RW) - Unconstrained,Kalman (RW) - Unconstrained,Kalman (RW) - Beta-neutral,Kalman (RW) - Beta-neutral,Kalman (RW) - Beta-neutral,Kalman (RW) - Beta-neutral,Kalman (MR) - Unconstrained,Kalman (MR) - Unconstrained,Kalman (MR) - Unconstrained,Kalman (MR) - Unconstrained,Kalman (MR) - Unconstrained,Kalman (MR) - Beta-neutral,Kalman (MR) - Beta-neutral,Kalman (MR) - Beta-neutral,Kalman (MR) - Beta-neutral,LASSO - Unconstrained,LASSO - Unconstrained,LASSO - Unconstrained,LASSO - Unconstrained,LASSO - Unconstrained,Benchmark (EW) - Unconstrained,Benchmark (EW) - Unconstrained,Benchmark (EW) - Unconstrained,Benchmark (EW) - Unconstrained,Benchmark (EW) - Unconstrained,LASSO - Beta-neutral,LASSO - Beta-neutral,LASSO - Beta-neutral,LASSO - Beta-neutral,Benchmark (EW) - Beta-neutral,Benchmark (EW) - Beta-neutral,Benchmark (EW) - Beta-neutral,Benchmark (EW) - Beta-neutral
,MKT_RF,SMB,HML,RMW,CMA,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA,MKT_RF,SMB,HML,RMW,CMA,SMB,HML,RMW,CMA,SMB,HML,RMW,CMA
2000-03-31,0.12365831075056238,0.44354180087200945,0.29787605386114147,1.1890982608280085,0.8860953229408555,0.5116539466509075,0.28408017523612566,1.1577996177641632,0.7789733915932447,0.5865068932194283,0.028033425110328532,-0.4113462983486566,0.5986736334879414,1.9041134130814343,0.4930869711374991,-0.7625421102501063,0.5847012170279906,2.079861073166772,0.3920452691514039,0.13301698024499875,-0.223963092238981,1.3539962041087041,1.5892768559815265,0.3809612560407507,-0.32458023450328116,1.4024244728304307,1.4145900886463023,0.6164835436655304,-0.0023030789854762987,0.11552582546436453,1.0250465976239027,1.190582831140713,0.2,0.2,0.2,0.2,0.2,0.5074191511582341,0.047336314386236665,1.3247725253209488,1.0111980215845564,0.25,0.25,0.25,0.25
2000-06-30,0.10796090845089767,0.4769506506786383,0.3838546371394532,0.8885521420443597,0.7902218189042088,0.5360722930909042,0.374828477375771,0.8663124652369935,0.6930959256129131,0.5629946263959371,0.020501086324068857,0.04819031794534696,-0.43249632282150663,1.0166923351147317,0.4411729886377481,-0.026592306825234346,-0.8685108650020529,0.6949996835044666,0.5574631419550375,0.12596736196145056,-0.23233408495676794,0.6035010973546794,1.779904541909189,0.5850799116174701,-0.4316706725138753,0.643887306512067,1.800510509014424,0.6386817330672344,0.006565881776639851,0.0377707137327126,0.7944541505718988,1.3201657603716748,0.2,0.2,0.2,0.2,0.2,0.5182462228406384,-0.14684264730132587,1.0655929784184313,1.3733333359676099,0.25,0.25,0.25,0.25
2000-09-30,0.23197009609099326,0.4030740612962907,0.5197000039668771,0.9465776756363289,0.5593020932095117,0.5427746122864124,0.5185642817741543,0.9191845018091324,0.3452581635653224,0.621260159780593,-0.013252616798835581,0.1946413880853497,0.8738068550252811,1.079076891689642,0.49470744370383773,0.21462798578387748,1.1565626075551751,0.7799698170878608,0.6058134206791977,-0.011204929662860422,-0.14704281753512954,0.8061683380644006,1.6256472850200765,0.4647930530213429,-0.3428977928637228,1.006088237269566,1.653355363142528,0.6735272835223208,-0.04311325971552647,0.06129631823709038,0.44452091035574187,1.346963792395426,0.2,0.2,0.2,0.2,0.2,0.5031099659923763,-0.0956029676473293,0.48964781424133696,1.497404928568548,0.25,0.25,0.25,0.25
2000-12-31,0.2426338577979951,0.3793825085401529,0.7723208891002642,0.8736290449529126,-0.5114079209976066,0.5274148608334585,0.7890677121346401,0.8557554257518643,-0.7770994273087956,0.5731893737216853,-0.07291330949189148,0.48717036854253487,0.8303082545235375,0.5582522548653118,0.3197171345938132,0.6472515049598584,1.0271859112566257,0.03652622602675027,0.6114977209883525,-0.062185578305189074,0.008096616241566032,0.7986967496572579,1.34482061530618,0.4007088518858734,-0.08453308039866662,1.0611135639502673,1.2783462175679683,0.6710731060799408,-0.041066458397398205,0.04411993736652323,0.5864183516333535,1.2955437549246132,0.2,0.2,0.2,0.2,0.2,0.4835067354852442,-0.10647744961092438,0.8088182435400806,1.3888455531530164,0.25,0.25,0.25,0.25
2001-03-31,0.23365565155674556,0.21701907601464304,0.3834542592969135,-0.20385211398291012,-1.173533921965133,0.35620382864630223,0.38117838522001307,-0.24452239325768207,-1.4399771639814989,0.43819966863856313,-0.03569738365213149,0.4927768468382287,0.7694530202615899,0.14629909979631417,0.23581578567383643,0.553571496630451,0.8705214342974865,-0.27443036400974047,0.6523578820610123,-0.13930046125703513,0.12247445441446735,0.4990346319548594,0.8885049394325224,0.38306764713806546,0.12444340537845058,0.7917844239323221,0.6351434261237062,0.6506070972519242,-0.055613881256815295,-0.005085168673670625,0.46730530357942196,1.135079555405788,0.2,0.2,0.2,0.2,0.2,0.4549702875875262,-0.15131550155199155,0.6975114030145447,1.0656762208402875,0.25,0.25,0.25,0.25
2001-06-30,0.5794763618912074,-0.25107244647285293,-0.04886119415587655,-0.06080153682481935,-0.10080765959695322,0.031508847150535146,-0.17436247780149725,-0.2469720047662647,-0.9487633068792799,0.4560383860131909,0.19415271922311822,0.39063742759183423,0.5593753211685134,0.49212307561672286,0.5113751107983447,0.4278625770724613,0.6053458840168505,0.1160823125241707,0.5524880863356584,0.20489525263886707,-0.03235985113231064,0.5492800207137358,1.0494262799673717,0.6797996577883967,-0.13551391510332958,0.6690533437434579,0.8290709725905588,0.6451874064967466,0.011118400877385684,0.03337986240399458,0.48490399236326637,1.1428926811258198,0.2,0.2,0.2,0.2,0.2,0.414795415223665,-0.18368822693214698,0.71751235653848,1.0590397742511024,0.25,0.25,0.25,0.25
2001-09-30,0.7131034683993399,-0.2656072277510549,0.0025700730665099234,0.000553164397336468,0.3556415034230391,0.17917049689945497,-0.22301546833747857,-0.3499799029880989,-0.7796284945813675,0.4913112257990741,0.35285484982298737,-0.13122313656146203,0.4376281526516559,1.2181516123873268,0.758718873087135,-0.2428483023756196,0.46753480863403,1.0403093722389114,0.4486717748769246,0.34174567716805637,-0.1885968823644112,0.5392016860822929,1.3087544103521085,0.678761585041561,-0.29484445166233997,0.5765396962889151,1.1411245558091194,0.642378678336422,0.059206836996812846,0.03211675307611835,0.4707135197516476,1.1393461977061095,0.2,0.2,0.2,0.2,0.2,0.4776646128888717,-0.18392042171729298,0.6925204699322671,1.051865589723567,0.25,0.25,0.25,0.25
2001-12-31,0.6469406681844294,-0.21207121920896804,0.19642913693763553,-0.16979941635814486,-0.026272089103851957,0.15920832359476014,0.25048405829567905,-0.5415694344838352,-1.1415755208158525,0.5410144208688911,-0.05696766463597437,0.13064416759575376,0.721350647626613,0.7574026530089548,0.2708670392389376,0.10900970487521675,0.8886760026010362,0.39360393136573335,0.658841615469707,-0.16084836733766197,0.13392423015606206,0.515853847324975,0.829582340617225,0.2807850298060917,0.13626723300560503,0.796321807804044,0.4882610365129546,0.631962943235949,0.06853529192078776,-0.0025775252216425244,0.4616915489954048,1.1685327439280557,0.2,0.2,0.2,0.2,0.2,0.47276854702016297,-0.19997136131667836,0.6340817091073787,1.021990865561783,0.25,0.25,0.25,0.25
2002-03-31,0.7290689110513436,-0.4343331314448432,0.21184449959470295,-0.046082619270117774,0.21621421093296822,-0.3532470666276292,0.4552339330071602,-0.5747222667570008,-1.4124305556536998,0.4741717844666731,0.39233205672984806,-0.32130810510829866,0.26996628656540733,1.4683809045587979,0.7733788904713934,-0.472980571641382,0.24041875408354701,1.344238810278289,0.4650159627356126,0.34436459896383553,-0.17247532973305207,0.4838692596920823,1.2620973771707298,0.698596690845683,-0.2785966217011517,0.5092008657034188,1.078468186355814,0.6405785078773747,0.092404914199415,0.02167284239912543,0.45316042513258115,1.1103675798536898,0.2,0.2,0.2,0.2,0.2,0.52321763723148,-0.17132240194462683,0.637518652972833,0.9465116925825041,0.25,0.25,0.25,0.25
2002-06-30,0.6889914193499519,-0.5862078984354295,0.4119491810067606,-0.08287786663253022,-0.10551843303233677,-0.6098625056787121,0.7530268501958323,-0.4278269923133688,-1.5652059684957926,0.5088912732404536,0.22213730940527368,0.04476570485612044,0.5722979283476891,0.8870309168808286,0.6146582006378891,-0.023340283342068648,0.6640875320386849,0.6183382223833263,0.5357310988295325,0.23985460591698532,0.12141936438351011,0.4841130461171333,0.8013809955518075,0.6851745895262145,0.07833895023782411,0.5654333916874522,0.4953652607513442,0.6711648912341442,0.003351498969761368,0.012466810865237201,0.4178685972410514,1.0843722517095724,0.2,0.2,0.2,0.2,0.2,0.475248301197096,-0.19463324833939674,0.6269705216925501,0.9386531968547661,0.25,0.25,0.25,0.25
2002-09-30,0.6477940205229642,-0.33297142986610717,0.5354826386048628,-0.21117990664050712,-0.1748240979242325,-0.09248344765554466,0.912320729516988,-0.6183454330569668,-1.451778729497282,0.5330722558894783,0.16088267324800581,0.07980680436918572,0.5681038069474275,0.8492801117488415,0.5507718968351554,0.05186991646496442,0.6590874059707095,0.5022809214758024,0.5966924863409954,0.09627180029636688,0.07885781342711484,0.4915936331971236,0.8831175124831263,0.5729633100494479,0.04982767195653679,0.6151591621599107,0.5367885690385118,0.6393841726180395,0.025469917241435627,-0.03642452638330371,0.44532965921785483,1.1381863552867162,0.2,0.2,0.2,0.2,0.2,0.4274909626715158,-0.20377674074607377,0.5993933187034114,0.908250637295272,0.25,0.25,0.25,0.25
2002-12-31,0.670260842470084,-0.12361034007381835,0.3127264747575945,-0.13250069915065646,0.45174815970549287,0.47560847420197133,0.5000148332140534,-0.7289383742951225,-0.11043997001182716,0.5491245635208563,-0.005580931838372781,0.018719227421518245,0.6325630935213608,0.8836929178608207,0.38580000079274596,-0.1018532467062939,0.7412059545746633,0.7146336197796739,0.6152760685581931,-0.11477100750272698,0.0586548525844834,0.5296714773097535,0.8811011793286254,0.3266997802188764,-0.06981164126063891,0.6811601913159009,0.772553595268965,0.5951537067522735,-0.0035928311403702466,0.06531241752135843,0.5336076942514751,0.9149620395715061,0.2,0.2,0.2,0.2,0.2,0.3884369322974912,-0.12262327434094608,0.6561231332592492,0.7717865196068827,0.25,0.25,0.25,0.25
2003-03-31,0.5853043965056196,-0.04421272712580791,0.6741698484120252,-0.14438735770899788,-0.21290933271825532,0.3851962304196528,0.9331492769080142,-0.5000172056931944,-1.0243592711563867,0.5445808065242866,0.09865312422770661,-0.08583311643800534,0.34576121988017067,1.2044460859240684,0.5306762189238936,-0.2748248984221438,0.29265557474768655,1.2211642498878519,0.5670148576629903,0.002765984567847681,0.11111379306481008,0.5381198468390983,0.8584934378401059,0.42635067209295135,0.011915511422904904,0.6000817133282107,0.7220213660913933,0.6091735234075741,-0.04514906642071896,0.023656803909006343,0.5047837389196191,0.9918132159806717,0.2,0.2,0.2,0.2,0.2,0.35380781462837174,-0.21846565241529803,0.6086221622516105,0.9403932616195904,0.25,0.25,0.25,0.25
2003-06-30,0.5534515898280562,-0.008163757997375606,0.7611796605798523,-0.10056241441518653,-0.16913997710315,0.38608080645808324,1.0139251790945123,-0.38468832867108826,-0.851939992389763,0.5060984218465505,0.15535067401814193,-0.2745098057531589,0.4966328882973562,1.290530117455149,0.5447345713345502,-0.49394686031777024,0.49072011524075176,1.2817946864378345,0.5714958798885925,0.0306636489020922,0.02714025763896162,0.5380159992051613,0.9378129432150707,0.4789742757391451,-0.10795658370230213,0.6020920111676279,0.8435191064531891,0.6127300373432315,-0.08770418476645793,-0.011716228127506164,0.5359003818902361,0.9921383781338495,0.2,0.2,0.2,0.2,0.2,0.32222228097034167,-0.2582313415638579,0.6448420113119018,0.9538645803536441,0.25,0.25,0.25,0.25
2003-09-30,0.4390148545588388,0.13133738581129398,0.9258627761113191,0.24789005605419992,-0.6214125517859638,0.43272717252085674,1.0591161974810341,0.1335261276184122,-1.14469557914812,0.46549640682241483,0.2781022636017565,0.04494738981209223,0.1863609584394075,1.0556171686806968,0.6552390649940898,-0.04787192476576742,0.047809379426784,0.9600321242812223,0.4600440939341802,0.26035676409089326,0.011584405175884745,0.5444584151991937,0.9338364111224287,0.6239437442272228,-0.08909739416316861,0.5093840130499193,0.8009689373240871,0.6159833230656414,-0.09630453701039517,-0.0005539465065968092,0.507502959033511,1.0007873708553714,0.2,0.2,0.2,0.2,0.2,0.34245283004969207,-0.2517116514323831,0.5618648034077426,1.0303434648552323,0.25,0.25,0.25,0.25
2003-12-31,0.40932875860985257,0.000993879619395915,0.9560454791234655,0.4807592694438945,-0.7916964722417733,0.24071110396527431,1.0659953659562833,0.42239775363624477,-1.2892625979021397,0.46335122062680967,0.30548757771982926,-0.08896730944614129,0.2741552610308745,1.1593831767548024,0.6829347511264644,-0.21607124974963315,0.1639739579005579,1.0834186214477939,0.48696889362333934,0.2726758227531419,0.024561206415912213,0.5158970676301872,0.8988502749081492,0.6791624531222094,-0.07792524307569307,0.48211951544467063,0.7537335962081617,0.6137724134043219,-0.08044119037472475,-0.018808505647678934,0.4870919605914013,1.0445281766138277,0.2,0.2,0.2,0.2,0.2,0.3520176221719745,-0.2703394352889373,0.5262115169324639,1.0814602586555977,0.25,0.25,0.25,0.25
2004-03-31,0.2102105914782147,0.1955786500624391,0.8831873354080126,0.650929821402206,-0.8266797663790012,0.3118564450992423,0.8860242637944529,0.6079010430638923,-1.0104777693027893,0.5110990690932126,0.1743062048547451,0.08848703752187032,0.3769971380594262,0.9652092054208465,0.5946804450079308,0.0060131514541325905,0.29370641799477026,0.8707097609253196,0.48848116251194446,0.20752999538989628,0.033036894800390064,0.5348483869471015,0.9282147790108933,0.6012159966645332,-0.06377697402231478,0.5044473759258019,0.8073681463947951,0.6176918039553773,-0.05071078799566548,0.005235363066426212,0.4581818872845006,1.0287874906271106,0.2,0.2,0.2,0.2,0.2,0.3949939208668512,-0.2361374882242207,0.48242637146108847,1.0752061956966603,0.25,0.25,0.25,0.25
2004-06-30,0.15373930891775778,0.39026860514094563,0.6560559464239264,0.7179550110245068,-0.45937956544237524,0.476112033821413,0.6447918451886705,0.6829145892015795,-0.5750564811951568,0.5153922783549603,0.180060418930352,0.0790690997834098,0.44511568724327266,0.9349293086539945,0.6075524570511914,-0.009386658893716489,0.38894852168873084,0.8288889730404285,0.5201128265275661,0.1560747203209783,0.010315004635576705,0.5144628081455827,0.9812320629086032,0.5823421385607025,-0.10806627404469872,0.4886185387951077,0.8975888443702202,0.618567529407931,-0.055025640916656224,0.019742436837200866,0.4656709973502927,1.008850383775382,0.2,0.2,0.2,0.2,0.2,0.38489905727403745,-0.21474338726218586,0.49833759094606855,1.0438895685121083,0.25,0.25,0.25,0.25
